(Internal) id;(Source) id;Title;Authors;Publication type;Abstract;Abstract Screening Phase;Full-text screening phase;Reason of exclusion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445702;pi001;On the origins of human handedness and language: A comparative review of hand preferences for bimanual coordinated actions and gestural communication in nonhuman primates;"Meguerditchian A; Vauclair J; Hopkins W D ";Journal Article;Within the evolutionary framework about the origin of human handedness and hemispheric specialization for language, the question of expression of population-level manual biases in nonhuman primates and their potential continuities with humans remains controversial. Nevertheless, there is a growing body of evidence showing consistent population-level handedness particularly for complex manual behaviors in both monkeys and apes. In the present article, within a large comparative approach among primates, we will review our contribution to the field and the handedness literature related to two particular sophisticated manual behaviors regarding their potential and specific implications for the origins of hemispheric specialization in humans: bimanual coordinated actions and gestural communication. Whereas bimanual coordinated actions seem to elicit predominance of left-handedness in arboreal primates and of right-handedness in terrestrial primates, all handedness studies that have investigated gestural communication in several primate species have reported stronger degree of population-level right-handedness compared to noncommunicative actions. Communicative gestures and bimanual actions seem to affect differently manual asymmetries in both human and nonhuman primates and to be related to different lateralized brain substrates. We will discuss (1) how the data of hand preferences for bimanual coordinated actions highlight the role of ecological factors in the evolution of handedness and provide additional support the postural origin theory of handedness proposed by MacNeilage [MacNeilage [2007]. Present status of the postural origins theory. In W. D. Hopkins (Ed.), The evolution of hemispheric specialization in primates (pp. 59�91). London: Elsevier/Academic Press] and (2) the hypothesis that the emergence of gestural communication might have affected lateralization in our ancestor and may constitute the precursors of the hemispheric specialization for language. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445215;pi002;A word in the hand: The gestural origins of language;Corballis M C ;Book Chapter;The evolution of language, it has been suggested, may be 'the hardest problem in science'. In 1866, shortly after the publication of Darwin's (1859) Origin of Species, it was so controversial that the Linguistics Society of Paris banned all discussion of the origins of language, and shortly afterwards the Philological Society of London followed suit. This seemed to create something of a hiatus, and it was not really until around a century later that interest picked up again. Even so, the topic remains highly contentious to the point that one might wonder whether the ban should be reinstated. One widely held theory is that held by the dominant linguist of our time, Noam Chomsky, and supported by a number of archeologists and prehistorians. This theory might be termed the 'big bang' theory, since it holds that language emerged in a single step and was restricted to our own species, Homo sapiens. In evolutionary terms this theory effectively denies any evolutionary precursors and is nonspecific as to the mechanisms of evolutionary change. In this chapter, the author discusses this theory first, and suggest that it is deeply implausible, then go on to consider an evolutionary account that is in many respects its opposite. In this alternative view language evolved from manual gestures, and its origins go far back in primate evolution. (PsycINFO Database Record (c) 2018 APA, all rights reserved);Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445083;pi003;Gestural and symbolic development among apes and humans: Support for a multimodal theory of language evolution;"Gillespie-Lynch K; Greenfield P M; Lyn H; Savage-Rumbaugh S ";Journal Article;What are the implications of similarities and differences in the gestural and symbolic development of apes and humans? This focused review uses as a starting point our recent study that provided evidence that gesture supported the symbolic development of a chimpanzee, a bonobo, and a human child reared in language-enriched environments at comparable stages of communicative development. These three species constitute a complete clade, species possessing a common immediate ancestor. Communicative behaviors observed among all species in a clade are likely to have been present in the common ancestor. Similarities in the form and function of many gestures produced by the chimpanzee, bonobo, and human child suggest that shared non-verbal skills may underlie shared symbolic capacities. Indeed, an ontogenetic sequence from gesture to symbol was present across the clade but more pronounced in child than ape. Multimodal expressions of communicative intent (e.g., vocalization plus persistence or eye-contact) were normative for the child, but less common for the apes. These findings suggest that increasing multimodal expression of communicative intent may have supported the emergence of language among the ancestors of humans. Therefore, this focused review includes new studies, since our 2013 article, that support a multimodal theory of language evolution. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445425;pi005;Vocal and gestural communication in nonhuman primates and the question of the origin of language;"Meguerditchian A; Vauclair J";Book Chapter;"Human language is an extraordinary and unique means of communication, which involves complex cognitive functions like intentionality, generativity, elaboration, and comprehension of syntax, empathy, imitation, invention and manipulation of symbols, conceptual representations, categorization, referential cues, etc. In investigating the question of language origin, linguists often discount the views of primatologists, even though they have important contributions to make to the multidisciplinary effort necessary to deal with language evolution (Christiansen & Kirby, 2003; Hauser et al., 2002). Since nonhuman primates are phylogenetically very close to humans, research on our cousins can provide essential clues for inferring the features of our ancestral communication systems. Thus, a prime question for primatologists is to investigate whether direct precursors of language in the communicative behaviours of nonhuman primates. In this chapter we review several major studies in nonhuman primates that possibly provide evidence for the main precursors of linguistic properties that are shared by both the gestural and the vocal modalities. These properties comprise flexibility of learning and use, intentional control and referential communication. Features associated exclusively with vocal articulated language will not be considered, e.g., the anatomy of the vocal apparatus, the acoustical traits of vocal signals, or the mechanisms of speech production and articulation. However, we will consider the neural substrate of gestural and vocal communication in nonhuman primates and examine the evidence for precursors of a left-hemispheric lateralization, which is typically involved in the control of speech. We will also discuss several studies on cognition, communication systems, and communicative behaviours in monkeys and apes in order to compare the main arguments for the gestural and the vocal theories of language origin. (PsycINFO Database Record (c) 2016 APA, all rights reserved)";Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445607;pi006;Visible movements of the orofacial area: Evidence for gestural or multimodal theories of language evolution?;"Wacewicz S; Zywiczynski P; Orzechowski S";Journal Article;The age-old debate between the proponents of the gesture-first and speech-first positions has returned to occupy a central place in current language evolution theorizing. The gestural scenarios, suffering from the problem known as 'modality transition' (why a gestural system would have changed into a predominantly spoken system), frequently appeal to the gestures of the orofacial area as a platform for this putative transition. Here, we review currently available evidence on the significance of the orofacial area in language evolution. While our review offers some support for orofacial movements as an evolutionary 'bridge' between manual gesture and speech, we see the evidence as far more consistent with a multimodal approach. We also suggest that, more generally, the 'gestural versus spoken' formulation is limiting and would be better expressed in terms of the relative input and interplay of the visual and vocal-auditory sensory modalities. (PsycINFO Database Record (c) 2017 APA, all rights reserved);Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22444935;pi007;Young children spontaneously recreate core properties of language in a new modality;"Bohn M; Kachel G; Tomasello M";Journal Article;"How the world's 6,000+ natural languages have arisen is mostly unknown. Yet, new sign languages have emerged recently among deaf people brought together in a community, offering insights into the dynamics of language evolution. However, documenting the emergence of these languages has mostly consisted of studying the end product; the process by which ad hoc signs are transformed into a structured communication system has not been directly observed. Here we show how young children create new communication systems that exhibit core features of natural languages in less than 30 min. In a controlled setting, we blocked the possibility of using spoken language. In order to communicate novel messages, including abstract concepts, dyads of children spontaneously created novel gestural signs. Over usage, these signs became increasingly arbitrary and conventionalized. When confronted with the need to communicate more complex meanings, children began to grammatically structure their gestures. Together with previous work, these results suggest that children have the basic skills necessary, not only to acquire a natural language, but also to spontaneously create a new one. The speed with which children create these structured systems has profound implications for theorizing about language evolution, a process which is generally thought to span across many generations, if not millennia. (PsycINFO Database Record (c) 2020 APA, all rights reserved)";Included;Included;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445124;pi009;A cross-species study of gesture and its role in symbolic development: Implications for the gestural theory of language evolution;"Gillespie-Lynch K; Greenfield P M; Feng Y; Savage-Rumbaugh S; Lyn H";Journal Article;"Using a naturalistic video database, we examined whether gestures scaffold the symbolic development of a language-enculturated chimpanzee, a language-enculturated bonobo, and a human child during the second year of life. These three species constitute a complete clade: species possessing a common immediate ancestor. A basic finding was the functional and formal similarity of many gestures between chimpanzee, bonobo, and human child. The child�s symbols were spoken words; the apes� symbols were lexigrams�noniconic visual signifiers. A developmental pattern in which gestural representation of a referent preceded symbolic representation of the same referent appeared in all three species (but was statistically significant only for the child). Nonetheless, across species, the ratio of symbol to gesture increased significantly with age. But even though their symbol production increased, the apes continued to communicate more frequently by gesture than by symbol. In contrast, by 15�18 months of age, the child used symbols more frequently than gestures. This ontogenetic sequence from gesture to symbol, present across the clade but more pronounced in child than ape, provides support for the role of gesture in language evolution. In all three species, the overwhelming majority of gestures were communicative (i.e., paired with eye contact, vocalization, and/or persistence). However, vocalization was rare for the apes, but accompanied the majority of the child�s communicative gestures. This species difference suggests the co-evolution of speech and gesture after the evolutionary divergence of the hominid line. Multimodal expressions of communicative intent (e.g., vocalization plus persistence) were normative for the child, but less common for the apes. This species difference suggests that multimodal expression of communicative intent was also strengthened after hominids diverged from apes. (PsycINFO Database Record (c) 2016 APA, all rights reserved)";Included;Included;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445780;pi010;From action to spoken and signed language through gesture: Some basic developmental issues for a discussion on the evolution of the human language-ready brain;"Volterra V; Capirci O; Rinaldi P; Sparaci L";Journal Article;"We review major developmental evidence on the continuity from action to gesture to word and sign in human children, highlighting the important role of caregivers in the development of multimodal communication. In particular, the basic issues considered here and contributing to the current debate on the origins and development of the language-ready brain are: (1) links between early actions, gestures and words and similarities in representational strategies; (2) importance of multimodal communication and the interplay between gestures and spoken words; (3) interconnections between early actions, gestures and signs. The innovation of this report is in connecting these themes together to relevant findings from studies on children between 6 and 36 months of age and highlighting interesting parallels in studies on ape communicative behavior. (PsycINFO Database Record (c) 2019 APA, all rights reserved)";Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22445346;pi011;Mirror neurons, gestures and language evolution;"Fogassi L; Ferrari P F";Journal Article;Different theories have been proposed for explaining the evolution of language. One of this maintains that gestural communication has been the precursor of human speech. Here we present a series of neurophysiological evidences that support this hypothesis. Communication by gestures, denned as the capacity to emit and recognize meaningful actions, may have originated in the monkey motor cortex from a neural system whose basic function was action understanding. This system is made by neurons of monkey's area F5, named mirror neurons, activated by both execution and observation of goal-related actions. Recently, two new categories of mirror neurons have been described. Neurons of one category respond to the sound of an action, neurons of the other category respond to the observation of mouth ingestive and communicative actions. The properties of these neurons indicate that monkey's area F5 possesses the basic neural mechanisms for associating gestures and meaningful sounds as a pre-adaptation for the later emergence of articulated speech. The homology and the functional similarities between monkey area F5 and Broca's area support this evolutionary scenario. (PsycINFO Database Record (c) 2016 APA, all rights reserved);Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22444846;pi012;Gestures, vocalizations, and memory in language origins;Aboitiz F;Journal Article;This article discusses the possible homologies between the human language networks and comparable auditory projection systems in the macaque brain, in an attempt to reconcile two existing views on language evolution: one that emphasizes hand control and gestures, and the other that emphasizes auditory�vocal mechanisms. The capacity for language is based on relatively well defined neural substrates whose rudiments have been traced in the non-human primate brain. At its core, this circuit constitutes an auditory�vocal sensorimotor circuit with two main components, a 'ventral pathway' connecting anterior auditory regions with anterior ventrolateral prefrontal areas, and a 'dorsal pathway' connecting auditory areas with parietal areas and with posterior ventrolateral prefrontal areas via the arcuate fasciculus and the superior longitudinal fasciculus. In humans, the dorsal circuit is especially important for phonological processing and phonological working memory, capacities that are critical for language acquisition and for complex syntax processing. In the macaque, the homolog of the dorsal circuit overlaps with an inferior parietal�premotor network for hand and gesture selection that is under voluntary control, while vocalizations are largely fixed and involuntary. The recruitment of the dorsal component for vocalization behavior in the human lineage, together with a direct cortical control of the subcortical vocalizing system, are proposed to represent a fundamental innovation in human evolution, generating an inflection point that permitted the explosion of vocal language and human communication. In this context, vocal communication and gesturing have a common history in primate communication. (PsycINFO Database Record (c) 2019 APA, all rights reserved);Excluded;NA;Theoretical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
